entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,capital_after,filters_passed
2026-04-03 02:30:00,2026-04-03 03:20:00,1.129,1.1162857142857143,885,-13.239220714285683,-1.1261546248260146,TRAILING (1.116),986.7607792857143,Todos filtros OK
2026-04-03 05:00:00,2026-04-03 06:40:00,1.126,1.1315714285714287,876,2.9029388571430417,0.4947982745496349,TRAILING (1.132),989.6637181428573,Todos filtros OK
2026-04-04 06:35:00,2026-04-04 07:05:00,1.117,1.1145714285714288,886,-4.12888657142839,-0.21741910730270764,TRAILING (1.115),985.5348315714289,Todos filtros OK
2026-04-04 07:50:00,2026-04-04 08:25:00,1.118,1.1124285714285713,881,-6.873436142857329,-0.4983388704319136,TRAILING (1.112),978.6613954285715,Todos filtros OK
2026-04-06 02:20:00,2026-04-06 03:15:00,1.101,1.0990000000000002,888,-3.7295999999998046,-0.1816530426884455,TRAILING (1.099),974.9317954285717,Todos filtros OK
2026-04-06 04:15:00,2026-04-06 07:45:00,1.104,1.122,883,13.928442000000015,1.6304347826086918,TRAILING (1.122),988.8602374285717,Todos filtros OK
2026-04-07 06:05:00,2026-04-07 06:45:00,1.117,1.1144285714285713,885,-4.250528571428657,-0.23020846655583682,TRAILING (1.114),984.6097088571431,Todos filtros OK
2026-04-08 01:35:00,2026-04-08 03:05:00,1.159,1.1528571428571428,849,-7.1780524285715,-0.5300135584863863,TRAILING (1.153),977.4316564285716,Todos filtros OK
2026-04-09 01:35:00,2026-04-09 01:50:00,1.115,1.1084285714285715,876,-7.7042948571427505,-0.5893657911595018,TRAILING (1.108),969.7273615714289,Todos filtros OK
2026-04-09 03:05:00,2026-04-09 03:20:00,1.115,1.1122857142857143,869,-4.294225571428532,-0.243433696348494,TRAILING (1.112),965.4331360000003,Todos filtros OK
2026-04-09 06:10:00,2026-04-09 07:05:00,1.115,1.115,865,-1.9289500000000002,0.0,TRAILING (1.115),963.5041860000003,Todos filtros OK
2026-04-10 07:50:00,2026-04-10 08:50:00,1.123,1.1194285714285714,857,-4.9824755714285605,-0.3180256964762762,TRAILING (1.119),958.5217104285717,Todos filtros OK
2026-04-13 07:10:00,2026-04-13 08:15:00,1.08,1.0694285714285714,887,-11.283400285714379,-0.9788359788359902,TRAILING (1.069),947.2383101428574,Todos filtros OK
2026-04-14 00:30:00,2026-04-14 01:25:00,1.13,1.1308571428571428,838,-1.176312571428544,0.07585335018962525,TRAILING (1.131),946.0619975714288,Todos filtros OK
2026-04-14 05:30:00,2026-04-14 07:15:00,1.121,1.1238571428571427,843,0.5161568571426991,0.254874474321376,TRAILING (1.124),946.5781544285716,Todos filtros OK
2026-04-15 01:10:00,2026-04-15 02:05:00,1.114,1.1172857142857142,849,0.8952098571427114,0.29494742241598093,TRAILING (1.117),947.4733642857143,Todos filtros OK
2026-04-16 01:40:00,2026-04-16 02:05:00,1.14,1.1364285714285713,831,-4.859569285714275,-0.31328320802005427,TRAILING (1.136),942.613795,Todos filtros OK
