id,data_entrada,data_saida,tipo,regime_detectado,preco_entrada,preco_saida,quantidade,pnl_bruto,taxas_slippage,pnl_liquido,retorno_pct,motivo_saida,candles_duracao,range_pct_entrada,range_bin
1,2026-04-02 20:00:00,2026-04-02 20:10:00,COMPRA,Bullish,1.1035515,1.1126989285714286,861.2873980054397,7.878564952726342,2.86324284742909,5.015322105297252,0.5015322105297252,Take Profit,2,60.606060606060396,60-80
2,2026-04-03 01:45:00,2026-04-03 02:05:00,COMPRA,Bullish,1.1175585,1.1234185714285714,854.7578836168598,5.008942252129385,2.873239228212291,2.135703023917094,0.21250452375623907,Take Profit,4,26.470588235293963,20-40
3,2026-04-03 03:35:00,2026-04-03 03:45:00,COMPRA,Bullish,1.1175585,1.1235561305903397,856.5742827867087,5.137416121339899,2.87952173601108,2.257894385328819,0.22418627683361966,Take Profit,2,43.478260869565425,40-60
4,2026-04-03 03:55:00,2026-04-03 04:10:00,COMPRA,Bullish,1.124562,1.1204885357142857,853.1481081306191,-3.4752683488948093,2.8730409258034135,-6.348309274698223,-0.6289135306780652,Stop Loss,3,69.56521739130469,60-80
5,2026-04-03 04:15:00,2026-04-03 05:00:00,COMPRA,Bullish,1.118559,1.1244190714285713,852.3323611161472,4.994728517023413,2.8676441933286854,2.1270843236947274,0.2120594011947208,Take Profit,9,43.478260869565425,40-60
6,2026-04-03 07:15:00,2026-04-03 08:15:00,COMPRA,Bullish,1.1335665,1.141856357142857,842.8316944707526,6.986954342634744,2.8766977534847933,4.11025658914995,0.40890438784516314,Take Profit,12,70.37037037037025,60-80
7,2026-04-03 11:00:00,2026-04-03 11:10:00,COMPRA,Bullish,1.1335665,1.1302463411281178,846.2780702515931,-2.8097776430250767,2.87372274390102,-5.683500386926097,-0.5631142300878683,Stop Loss,2,15.789473684210034,0-20
8,2026-04-03 11:25:00,2026-04-03 12:05:00,COMPRA,Bullish,1.1345669999999999,1.1311336866725508,840.7704834457455,-2.886628506140115,2.857401392515557,-5.744029898655672,-0.572334315660057,Stop Loss,8,19.04761904761915,0-20
9,2026-04-03 12:15:00,2026-04-03 12:40:00,COMPRA,Bullish,1.1325659999999997,1.128174825557937,837.4354238725729,-3.6773250301872933,2.8398366772757115,-6.517161707463005,-0.6531070138144652,Stop Loss,5,19.04761904761915,0-20
10,2026-04-05 01:20:00,2026-04-05 01:25:00,COMPRA,Lateral,1.110555,1.1119271142857143,509.07329524414183,0.6985067408801795,1.697109440310894,-0.9986026994307144,-0.10073126710424243,Take Profit,1,18.750000000000693,0-20
11,2026-04-06 00:15:00,2026-04-06 00:20:00,COMPRA,Bullish,1.1055525,1.1018006249999999,851.4361299884193,-3.1944819302003613,2.8191303034017654,-6.013612233602126,-0.6072180500565671,Stop Loss,1,62.49999999999953,60-80
12,2026-04-06 06:05:00,2026-04-06 06:15:00,COMPRA,Bullish,1.1115555,1.1159902774131274,841.6957623899923,3.73273335577225,2.8123737620675255,0.9203595937047244,0.09350007287645339,Take Profit,2,65.00000000000055,60-80
13,2026-04-06 06:30:00,2026-04-06 06:45:00,COMPRA,Bullish,1.114557,1.119845357142857,840.2139440119396,4.443351412343613,2.8160640255068614,1.627287386836752,0.16516300958578117,Take Profit,3,73.913043478261,60-80
14,2026-04-06 10:15:00,2026-04-06 10:35:00,COMPRA,Bullish,1.1325659999999997,1.1267773928571425,828.2193079918691,-4.7942362020940035,2.806847732022216,-7.60108393411622,-0.7702068127681798,Stop Loss,4,66.66666666666622,60-80
15,2026-04-06 11:00:00,2026-04-06 11:05:00,COMPRA,Bullish,1.1325659999999997,1.127849357142857,821.8403064570542,-3.87632721116271,2.7865506747517754,-6.662877885914485,-0.6803800881814686,Stop Loss,1,49.999999999999496,40-60
16,2026-04-06 13:40:00,2026-04-06 13:50:00,COMPRA,Bullish,1.1325659999999997,1.1294600473458578,816.248668655271,-2.535229718849656,2.7695636244144017,-5.304793343264057,-0.5454100829419329,Stop Loss,2,66.66666666666666,60-80
17,2026-04-06 13:55:00,2026-04-06 14:15:00,COMPRA,Bullish,1.1265629999999998,1.1233499606413992,816.1225037670213,-2.6222337260430333,2.754306898044795,-5.376540624087829,-0.555818237973755,Stop Loss,4,50.0,40-60
