data_entrada,data_saida,tipo,entrada,saida,tamanho,pnl,capital_final,motivo_saida,score,atr_entrada
2026-04-02 15:00:00,2026-04-02 15:25:00,LONG,1.1,1.0936005778737297,3125.2821903867703,-20.0,980.0,STOP_LOSS,70,0.0042662814175135405
2026-04-02 15:50:00,2026-04-02 16:05:00,LONG,1.101,1.0943361367052074,2941.2368070809794,-19.6,960.4,STOP_LOSS,75,0.004442575529861736
2026-04-02 17:15:00,2026-04-02 17:15:00,LONG,1.094,1.0887802245772489,3679.851802872387,-19.208,941.192,STOP_LOSS,80,0.0034798502818340553
2026-04-02 17:25:00,2026-04-02 17:25:00,LONG,1.097,1.0917060353491337,3555.7169798857117,-18.82384,922.36816,STOP_LOSS,70,0.0035293097672442594
2026-04-02 18:20:00,2026-04-02 19:00:00,LONG,1.095,1.098548034217192,3812.2465454182634,13.525981187516281,935.8941411875163,STOP_LOSS,120,0.0032259828914039754
2026-04-02 20:50:00,2026-04-02 21:15:00,LONG,1.109,1.1176960172789001,3587.443581628119,31.196471372917475,967.0906125604338,TAKE_PROFIT,75,0.003478406911560079
2026-04-03 01:40:00,2026-04-03 01:40:00,LONG,1.117,1.1121073526833103,3953.240648519722,-19.341812251208676,947.7488003092251,STOP_LOSS,90,0.003261764877793041
2026-04-03 01:45:00,2026-04-03 02:30:00,LONG,1.119,1.1274004905685517,3760.6883097091754,31.591626676974727,979.3404269861999,TAKE_PROFIT,55,0.0033601962274206363
2026-04-03 03:45:00,2026-04-03 03:45:00,LONG,1.126,1.1213089756556658,4175.3798535241585,-19.586808539723997,959.7536184464759,STOP_LOSS,110,0.0031273495628893503
2026-04-03 05:00:00,2026-04-03 05:00:00,LONG,1.126,1.1212409250495234,4033.36206482897,-19.19507236892952,940.5585460775463,STOP_LOSS,100,0.0031727166336509138
2026-04-03 05:05:00,2026-04-03 06:15:00,LONG,1.128,1.13587421937291,3981.594879586105,31.351951535917035,971.9104976134633,TAKE_PROFIT,80,0.0031496877491641404
2026-04-03 07:55:00,2026-04-03 08:25:00,LONG,1.137,1.1448969243503804,4102.485366414321,32.39701658711636,1004.3075142005797,TAKE_PROFIT,75,0.003158769740152112
