entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,exit_reason,capital,duration
2026-04-03 03:30:00,2026-04-03 11:15:00,1.118,1.1303999999999998,5.545617173524035,1.1091234347048071,SL,1005.5456171735241,93.0
2026-04-03 11:20:00,2026-04-03 19:45:00,1.133,1.112606,-9.049910554561727,-1.800000000000002,SL,996.4957066189623,101.0
2026-04-04 16:05:00,2026-04-05 04:40:00,1.117,1.096894,-8.968461359570641,-1.799999999999996,SL,987.5272452593917,151.0
2026-04-06 06:10:00,2026-04-06 07:40:00,1.113,1.1262571428571428,5.881307172382978,1.1911179566166088,SL,993.4085524317748,18.0
2026-04-06 10:55:00,2026-04-06 19:55:00,1.132,1.111624,-8.940676971885951,-1.7999999999999956,SL,984.4678754598888,108.0
2026-04-08 06:50:00,2026-04-08 11:30:00,1.143,1.122426,-8.86021087913904,-1.8000000000000083,SL,975.6076645807498,56.0
2026-04-10 11:15:00,2026-04-11 06:35:00,1.137,1.116534,-8.780468981226788,-1.8000000000000083,SL,966.827195599523,232.0
2026-04-11 19:00:00,2026-04-11 22:40:00,1.135,1.11457,-8.701444760395685,-1.7999999999999954,SL,958.1257508391272,44.0
2026-04-13 21:00:00,2026-04-14 14:05:00,1.126,1.105732,-8.623131757552127,-1.799999999999996,SL,949.5026190815752,205.0
2026-04-15 03:30:00,2026-04-15 13:45:00,1.12,1.1326571428571428,5.365174237922609,1.1301020408163125,SL,954.8677933194978,123.0
2026-04-15 21:25:00,2026-04-16 07:45:00,1.131,1.1445142857142858,5.704843580145582,1.194897056966031,SL,960.5726368996434,124.0
2026-04-16 10:55:00,2026-04-16 21:15:00,1.158,1.1869499999999997,12.007157961245465,2.499999999999984,TP,972.5797948608888,124.0
2026-04-16 21:35:00,2026-04-17 01:35:00,1.188,1.1666159999999999,-8.753218153748028,-1.800000000000006,SL,963.8265767071408,48.0
2026-04-17 13:20:00,2026-04-17 20:15:00,1.206,1.184292,-8.674439190364291,-1.8000000000000052,SL,955.1521375167765,83.0
2026-04-20 14:45:00,2026-04-20 18:10:00,1.104,1.1173428571428572,5.771946793741372,1.208592132505172,SL,960.9240843105179,41.0
2026-04-20 21:00:00,2026-04-21 16:50:00,1.109,1.089038,-8.648316758794676,-1.8000000000000034,SL,952.2757675517232,238.0
2026-04-21 23:10:00,2026-04-22 00:20:00,1.106,1.1198571428571429,5.965561189131794,1.2529062257814456,SL,958.241328740855,14.0
2026-04-22 00:55:00,2026-04-22 03:20:00,1.119,1.1298285714285714,4.636454277962255,0.9677007532235398,SL,962.8777830188172,29.0
2026-04-22 06:05:00,2026-04-22 20:00:00,1.13,1.1096599999999999,-8.665900047169366,-1.8000000000000023,SL,954.2118829716479,167.0
2026-04-24 20:10:00,2026-04-24 22:45:00,1.129,1.157225,11.927648537145576,2.499999999999995,TP,966.1395315087935,31.0
2026-04-25 14:00:00,2026-04-25 14:15:00,1.501,1.5385249999999997,12.076744143859857,2.499999999999987,TP,978.2162756526534,3.0
2026-04-25 18:00:00,2026-04-25 19:40:00,1.54,1.5784999999999998,12.22770344565809,2.499999999999984,TP,990.4439790983115,20.0
2026-04-27 11:05:00,2026-04-27 12:00:00,1.415,1.4178300000000001,0.9904439790983499,0.20000000000000775,SL,991.4344230774099,11.0
2026-04-27 13:20:00,2026-04-27 14:15:00,1.408,1.4431999999999998,12.392930288467587,2.499999999999993,TP,1003.8273533658775,11.0
2026-04-27 22:55:00,2026-04-27 23:10:00,1.441,1.477025,12.547841917073459,2.4999999999999982,TP,1016.3751952829509,3.0
2026-04-28 03:00:00,2026-04-28 03:40:00,1.461,1.4347020000000001,-9.147376757546535,-1.7999999999999954,SL,1007.2278185254044,8.0
2026-04-28 17:40:00,2026-04-28 19:30:00,1.492,1.5292999999999999,12.590347731567517,2.4999999999999925,TP,1019.8181662569718,22.0
2026-04-28 21:30:00,2026-04-29 00:50:00,1.481,1.518025,12.747727078212101,2.4999999999999907,TP,1032.565893335184,40.0
