id,data_entrada,data_saida,tipo,regime_detectado,preco_entrada,preco_saida,quantidade,pnl_bruto,taxas_slippage,pnl_liquido,retorno_pct,motivo_saida,candles_duracao
1,2026-04-02 04:25:00,2026-04-02 06:00:00,VENDA,Bearish,1.1004495,1.0851357321428574,862.8519527702089,13.213514499805209,2.8287547282502925,10.384759771554917,1.0384759771554917,Take Profit,19
2,2026-04-02 11:20:00,2026-04-02 11:30:00,VENDA,Bearish,1.0624685,1.0677515714285715,902.9779132483324,-4.770496814113315,2.8853125122874275,-7.6558093264007425,-0.7577122727120013,Stop Loss,2
3,2026-04-02 14:20:00,2026-04-02 15:35:00,VENDA,Lateral,1.1024485,1.0898234104231366,431.81890431681614,5.451752347982795,1.4199966814851783,4.031755666497617,0.40207831485345547,Take Profit,15
4,2026-04-03 17:20:00,2026-04-03 17:30:00,VENDA,Lateral,1.1224385000000001,1.118583285714286,425.8337804123193,1.641680473585268,1.4314541684956212,0.21022630508964668,0.020881457114232286,Take Profit,2
5,2026-04-05 07:15:00,2026-04-05 08:55:00,VENDA,Bearish,1.0974510000000002,1.097,871.24078852086,0.39292959562308316,2.8678428294155847,-2.4749132337925017,-0.24577802140253266,Stop Tempo,20
6,2026-04-05 09:20:00,2026-04-05 09:30:00,VENDA,Bearish,1.0914540000000001,1.0840002721866424,873.8747419631882,6.51362446956183,2.8516118111397266,3.6620126584221038,0.36456218725493433,Take Profit,2
7,2026-04-05 20:35:00,2026-04-05 21:00:00,VENDA,Lateral,1.1044475,1.1103374107142858,433.3710996603179,-2.5525170831511237,1.4397356584009937,-3.992252741552117,-0.3959947364859441,Stop Loss,5
8,2026-04-06 04:35:00,2026-04-06 05:10:00,VENDA,Lateral,1.1084455,1.1116581785714286,430.09805687323177,-1.381766810929709,1.4322934173160282,-2.8140602282457374,-0.28023861067725214,Stop Loss,7
9,2026-04-07 12:20:00,2026-04-07 14:00:00,VENDA,Bearish,1.0934530000000002,1.091,869.5467394222985,2.132998151803125,2.849225975356888,-0.7162278235537629,-0.07152609917730829,Stop Tempo,20
10,2026-04-07 15:05:00,2026-04-07 15:45:00,VENDA,Lateral,1.0974510000000002,1.09145945677889,432.8796523204092,2.593617146416877,1.4213021962364312,1.1723149501804457,0.11715704276615423,Take Profit,8
11,2026-04-07 18:00:00,2026-04-07 18:05:00,VENDA,Bearish,1.083458,1.0913112142857142,877.968095662629,-6.894871591259025,2.8640669783582107,-9.758938569617236,-0.9741328138178601,Stop Loss,1
