id,data_entrada,data_saida,tipo,regime_detectado,preco_entrada,preco_saida,quantidade,pnl_bruto,taxas_slippage,pnl_liquido,retorno_pct,motivo_saida,candles_duracao
1,2026-04-03 07:15:00,2026-04-03 08:55:00,COMPRA,Bullish,1.1335665,1.143,838.4819064430715,7.909819064430794,2.863289728596646,5.046529335834148,0.5046529335834148,Stop Tempo,20
2,2026-04-03 09:10:00,2026-04-03 10:50:00,COMPRA,Bullish,1.1375685,1.131,839.7486392867568,-5.515888937155043,2.8575409665056983,-8.37342990366074,-0.8331385323218978,Stop Tempo,20
3,2026-04-03 13:40:00,2026-04-03 14:15:00,COMPRA,Lateral,1.1225610000000001,1.1178443571428573,421.94271143518927,-1.9901530760142487,1.4179840666601713,-3.40813714267442,-0.3419513524159637,Stop Loss,7
4,2026-04-04 05:05:00,2026-04-04 05:15:00,COMPRA,Lateral,1.1065530000000001,1.109986390045249,426.58305342451354,1.4646260090995555,1.4183072115618167,0.04631879753773882,0.004663287168710039,Take Profit,2
5,2026-04-04 10:00:00,2026-04-04 10:05:00,COMPRA,Lateral,1.1065530000000001,1.1041968089430896,426.6029462173078,-1.0051580467289085,1.4146685727667085,-2.419826619495617,-0.24361211490998708,Stop Loss,1
6,2026-04-04 15:35:00,2026-04-04 16:05:00,COMPRA,Lateral,1.110555,1.1159148214285712,424.0301269117856,2.2727257605815865,1.4161354214184265,0.85659033916316,0.08644643520752247,Take Profit,6
7,2026-04-05 01:20:00,2026-04-05 01:35:00,COMPRA,Lateral,1.110555,1.1139852857142856,424.39668584070677,1.4558018886295336,1.4161312871644227,0.03967060146511092,0.004000068532813985,Take Profit,3
8,2026-04-05 03:05:00,2026-04-05 03:10:00,COMPRA,Lateral,1.1055525,1.103086982142857,426.3340858089416,-1.0511343016706325,1.4124274417513636,-2.4635617434219963,-0.24839607359001412,Stop Loss,1
9,2026-04-06 09:45:00,2026-04-06 10:35:00,COMPRA,Bullish,1.1355674999999998,1.1268411687452757,828.0686748735772,-7.226001558607271,2.8101446225255913,-10.036146181132862,-1.0144446735638695,Stop Loss,10
10,2026-04-06 12:30:00,2026-04-06 14:10:00,COMPRA,Bullish,1.1305649999999998,1.126,823.2952275304725,-3.7583427136765497,2.7867287926684505,-6.545071506345,-0.6683500110619409,Stop Tempo,20
11,2026-04-06 16:10:00,2026-04-06 17:00:00,COMPRA,Lateral,1.1195595,1.125,412.91590222448883,2.2464689660523147,1.3902214665585715,0.8562474994937432,0.08802402647452909,Stop Tempo,10
12,2026-04-06 20:00:00,2026-04-06 20:05:00,COMPRA,Lateral,1.108554,1.1058765057967281,417.382321436338,-1.1175387461939645,1.3863962177533238,-2.5039349639472883,-0.2571833467449749,Stop Loss,1
13,2026-04-07 23:45:00,2026-04-08 01:25:00,COMPRA,Bullish,1.144572,1.155,806.4165088174609,8.409311353948565,2.7816192360215792,5.627692117926986,0.5795200961538547,Stop Tempo,20
14,2026-04-08 05:05:00,2026-04-08 05:10:00,COMPRA,Bullish,1.1535765,1.1488598571428572,804.7587108405949,-3.7957594252097353,2.7793585718502016,-6.575117997059937,-0.6731814851009736,Stop Loss,1
15,2026-04-10 03:50:00,2026-04-10 04:55:00,COMPRA,Lateral,1.1155575,1.1119160872695855,413.29167331928204,-1.5049655605991514,1.3808944292357264,-2.885859989834878,-0.29746600698443726,Stop Loss,13
16,2026-04-10 14:25:00,2026-04-10 15:15:00,COMPRA,Lateral,1.1255625,1.128,408.3994953385137,0.9954737698875742,1.3805306815706988,-0.3850569116831246,-0.03980895833333879,Stop Tempo,10
17,2026-04-11 22:45:00,2026-04-11 23:00:00,COMPRA,Lateral,1.1015504999999999,1.0953443807473124,417.13581309970795,-2.5887946006635256,1.374605298562674,-3.9633998992261996,-0.4099177336565842,Stop Loss,3
18,2026-04-13 13:05:00,2026-04-13 13:50:00,COMPRA,Lateral,1.068534,1.0775300767072031,428.26209295004304,3.8526786389659047,1.378616839643293,2.4740617993226115,0.2569349982460262,Take Profit,9
19,2026-04-14 01:00:00,2026-04-14 02:40:00,COMPRA,Bullish,1.1295644999999999,1.134,812.3278912760394,3.6030803617549023,2.758134865578454,0.8449454961764484,0.08752396700620323,Stop Tempo,20
20,2026-04-14 04:00:00,2026-04-14 04:05:00,COMPRA,Bullish,1.1265629999999998,1.1228468571428571,815.205051040867,-3.029418427532097,2.7505954161059583,-5.780013843638056,-0.5982011332783352,Stop Loss,1
